electricity_usage_kwh,vehicle_type,vehicle_km,flights_short_haul,flights_long_haul,diet_type,waste_kg_weekly,household_size,grocery_spend_monthly,heating_source,internet_usage_hours,total_footprint_tco2e
289.7,petrol,424.6,2,0,non-vegetarian,16.8,3,315.21,natural gas,5.9,5.83
238.9,petrol,581.4,0,0,non-vegetarian,21.9,4,138.66,natural gas,15.3,5.13
301.8,diesel,687.1,1,0,vegetarian,24.0,1,250.53,natural gas,0.9,8.96
371.8,petrol,1220.3,3,0,non-vegetarian,9.8,4,211.22,oil,12.8,7.57
231.3,petrol,334.8,2,3,non-vegetarian,17.2,5,75.93,natural gas,4.5,6.57
231.3,diesel,657.0,3,0,non-vegetarian,11.5,4,438.08,natural gas,2.6,6.69
376.3,diesel,1181.2,2,0,vegetarian,15.7,3,500.19,electricity,2.8,7.74
311.4,hybrid,680.0,0,1,non-vegetarian,24.6,2,190.65,natural gas,5.6,6.81
212.4,petrol,984.2,1,1,non-vegetarian,19.4,4,395.96,natural gas,6.4,7.46
293.4,petrol,744.2,4,0,non-vegetarian,11.7,5,698.77,natural gas,6.2,6.99
212.9,petrol,902.7,2,0,non-vegetarian,11.5,4,478.74,natural gas,4.8,6.83
212.7,none,0.0,2,0,vegan,15.1,4,146.06,natural gas,10.9,2.79
269.4,diesel,1066.8,1,0,non-vegetarian,15.4,3,434.49,electricity,2.6,7.89
96.9,electric,182.0,0,0,non-vegetarian,15.7,5,274.36,natural gas,4.9,3.56
112.0,petrol,654.7,3,1,non-vegetarian,7.6,5,430.81,electricity,5.9,6.55
205.0,diesel,918.6,1,0,vegetarian,25.0,2,646.88,natural gas,5.9,9.18
169.0,petrol,1013.5,1,1,vegetarian,25.5,3,289.83,electricity,2.7,6.5
275.1,diesel,1397.2,2,0,non-vegetarian,17.4,3,511.74,electricity,6.3,9.36
177.4,none,0.0,0,0,pescatarian,10.6,1,187.07,natural gas,7.2,5.85
137.0,none,0.0,3,1,non-vegetarian,11.9,2,227.73,none,7.2,5.4
367.3,diesel,536.4,0,1,non-vegetarian,10.3,2,50.0,oil,7.3,6.92
231.9,diesel,1331.5,2,0,non-vegetarian,9.8,5,543.84,electricity,3.8,8.2
255.4,none,0.0,1,0,pescatarian,11.8,5,50.94,electricity,2.7,2.16
136.0,diesel,434.6,2,0,non-vegetarian,17.1,2,130.27,oil,3.3,5.75
206.4,petrol,922.8,2,0,non-vegetarian,15.6,3,334.03,natural gas,3.6,6.94
258.9,diesel,779.5,1,1,non-vegetarian,22.6,1,607.47,natural gas,0.5,15.14
157.9,petrol,1050.2,0,1,non-vegetarian,7.4,5,50.0,electricity,5.4,5.89
280.1,diesel,710.7,2,1,vegetarian,10.6,1,355.39,natural gas,5.6,11.36
201.9,diesel,677.1,0,1,non-vegetarian,5.0,2,86.42,electricity,2.9,6.61
226.7,diesel,1347.6,2,0,non-vegetarian,15.7,3,551.58,natural gas,7.5,9.43
201.9,petrol,760.5,2,1,non-vegetarian,23.0,1,325.57,natural gas,5.3,11.49
398.2,petrol,1130.6,2,1,non-vegetarian,12.6,4,533.32,oil,7.4,8.93
248.9,diesel,709.9,2,0,vegetarian,21.8,2,185.56,natural gas,4.3,6.03
165.4,hybrid,1466.7,0,0,non-vegetarian,18.5,3,231.6,electricity,4.4,5.95
315.8,diesel,528.7,0,0,non-vegetarian,19.3,2,159.9,natural gas,8.4,6.28
152.3,petrol,554.3,2,0,vegan,17.9,2,517.32,natural gas,1.4,6.78
266.7,none,0.0,1,0,non-vegetarian,24.0,1,513.35,natural gas,6.0,11.43
93.2,none,0.0,1,1,non-vegetarian,14.0,1,201.67,electricity,7.3,7.17
143.7,petrol,1440.4,3,2,non-vegetarian,18.4,4,446.35,electricity,9.3,9.97
265.7,petrol,1156.7,2,1,non-vegetarian,24.2,5,284.62,none,7.0,7.35
309.1,electric,738.1,3,0,non-vegetarian,9.9,4,50.0,oil,3.0,4.25
263.7,hybrid,74.7,2,1,non-vegetarian,13.9,3,375.48,none,4.4,5.77
240.7,none,0.0,2,1,non-vegetarian,17.9,3,428.38,electricity,0.5,5.68
225.9,hybrid,840.7,1,0,non-vegetarian,10.7,2,465.36,natural gas,4.0,7.84
